step,losses/eval.bodypart_heatmap,losses/eval.bodypart_locref,losses/eval.bodypart_total_loss,losses/eval.total_loss,losses/train.bodypart_heatmap,losses/train.bodypart_locref,losses/train.bodypart_total_loss,losses/train.total_loss,metrics/test.mAP,metrics/test.mAR,metrics/test.rmse,metrics/test.rmse_pcutoff
1,,,,,0.0009780869586393237,0.5726662278175354,0.014805697835981846,0.014805697835981846,,,,
2,,,,,0.0004243488656356931,0.5363224744796753,0.013620235957205296,0.013620235957205296,,,,
3,,,,,0.00040222532697953284,0.46716392040252686,0.011880210600793362,0.011880210600793362,,,,
4,,,,,0.0003890699881594628,0.42236649990081787,0.010753698647022247,0.010753698647022247,,,,
5,0.0004929237766191363,0.41464507579803467,0.010612589307129383,0.010612589307129383,0.000387185369618237,0.3961414396762848,0.01009712740778923,0.01009712740778923,5.709570957095709,8.888888888888888,73.35281291335978,nan
6,,,,,0.0003689450095407665,0.38166680932044983,0.009726143442094326,0.009726143442094326,,,,
7,,,,,0.0003615354944486171,0.3711886405944824,0.00946048554033041,0.00946048554033041,,,,
8,,,,,0.0003535473661031574,0.35265544056892395,0.008993159048259258,0.008993159048259258,,,,
9,,,,,0.00033848261227831244,0.3365477919578552,0.008582936599850655,0.008582936599850655,,,,
10,0.00043348773033358157,0.3254075348377228,0.008351932279765606,0.008351932279765606,0.00032599063706584275,0.33266741037368774,0.008479680866003036,0.008479680866003036,51.06789250353607,58.88888888888888,27.01865802744709,nan
11,,,,,0.0003238768258597702,0.3207625448703766,0.008181001991033554,0.008181001991033554,,,,
12,,,,,0.00031261827098205686,0.31648537516593933,0.008068444207310677,0.008068444207310677,,,,
13,,,,,0.0003047639038413763,0.3120320439338684,0.007953181862831116,0.007953181862831116,,,,
14,,,,,0.0002996592957060784,0.2964181900024414,0.007560285273939371,0.007560285273939371,,,,
15,0.0003820691490545869,0.3057064414024353,0.007833695970475674,0.007833695970475674,0.00028684575227089226,0.28356271982192993,0.007232491858303547,0.007232491858303547,73.05162659123054,76.66666666666667,19.74475033068783,nan
16,,,,,0.000290264084469527,0.28278931975364685,0.0072148642502725124,0.0072148642502725124,,,,
17,,,,,0.0002874186902772635,0.27361825108528137,0.006984165869653225,0.006984165869653225,,,,
18,,,,,0.00027726838015951216,0.266451358795166,0.006799918599426746,0.006799918599426746,,,,
19,,,,,0.00027675251476466656,0.26390013098716736,0.006735881324857473,0.006735881324857473,,,,
20,0.00035740563180297613,0.29406100511550903,0.0075302282348275185,0.0075302282348275185,0.00027619130560196936,0.25807660818099976,0.006590011063963175,0.006590011063963175,71.97579757975798,80.0,16.573691716269842,11.721085442437065
21,,,,,0.0002696633746381849,0.25681978464126587,0.006555326282978058,0.006555326282978058,,,,
22,,,,,0.00026389764389023185,0.2482367604970932,0.006337867118418217,0.006337867118418217,,,,
23,,,,,0.00024566781939938664,0.22324630618095398,0.005703990813344717,0.005703990813344717,,,,
24,,,,,0.00024231254064943641,0.2172209471464157,0.005551679525524378,0.005551679525524378,,,,
25,0.00031628424767404795,0.26939961314201355,0.006893133278936148,0.006893133278936148,0.00024455381208099425,0.21762219071388245,0.005562831647694111,0.005562831647694111,85.33239038189534,88.88888888888887,14.90000568369709,9.53298568725586
26,,,,,0.000242371010244824,0.21691101789474487,0.005543961189687252,0.005543961189687252,,,,
27,,,,,0.0002374060422880575,0.2091580480337143,0.005347654223442078,0.005347654223442078,,,,
28,,,,,0.00024267933622468263,0.22325347363948822,0.005702676717191935,0.005702676717191935,,,,
29,,,,,0.00023400843201670796,0.2040191888809204,0.005217485595494509,0.005217485595494509,,,,
30,0.00030462435097433627,0.2389107346534729,0.006125080399215221,0.006125080399215221,0.00022461243497673422,0.19626499712467194,0.005018931347876787,0.005018931347876787,90.9529702970297,93.33333333333333,12.27031017485119,7.726186964246962
31,,,,,0.00023001100635156035,0.20276856422424316,0.005184220150113106,0.005184220150113106,,,,
32,,,,,0.00022335573157761246,0.19241677224636078,0.00492209754884243,0.00492209754884243,,,,
33,,,,,0.00022130734578240663,0.19181208312511444,0.004905956331640482,0.004905956331640482,,,,
34,,,,,0.00021858059335500002,0.19138842821121216,0.004894000943750143,0.004894000943750143,,,,
35,0.0002675725845620036,0.2133585661649704,0.0054677510634064674,0.0054677510634064674,0.00021340454986784607,0.1811443716287613,0.004635311663150787,0.004635311663150787,95.12788778877889,96.66666666666669,8.955647786458334,6.607472737630208
36,,,,,0.00021183837088756263,0.18894162774085999,0.004829459823668003,0.004829459823668003,,,,
37,,,,,0.00021352934709284455,0.18516699969768524,0.004735940136015415,0.004735940136015415,,,,
38,,,,,0.00020186144683975726,0.1724575012922287,0.00441236887127161,0.00441236887127161,,,,
39,,,,,0.00020230341760907322,0.1734744906425476,0.004438013769686222,0.004438013769686222,,,,
40,0.0002569642383605242,0.22414642572402954,0.005732142832130194,0.005732142832130194,0.00019933645671699196,0.17405499517917633,0.00445104343816638,0.00445104343816638,92.42299229922993,95.55555555555557,9.707648706183862,7.70673828125
41,,,,,0.00020615168614313006,0.1842583566904068,0.0047095343470573425,0.0047095343470573425,,,,
42,,,,,0.00020879253861494362,0.17354001104831696,0.004442895296961069,0.004442895296961069,,,,
43,,,,,0.00020605523604899645,0.17378628253936768,0.0044476850889623165,0.0044476850889623165,,,,
44,,,,,0.00019896752201020718,0.17031170427799225,0.004357276950031519,0.004357276950031519,,,,
45,0.00024368397134821862,0.21348822116851807,0.005459047853946686,0.005459047853946686,0.0001845960650825873,0.14628687500953674,0.003749470692127943,0.003749470692127943,93.56023102310232,95.55555555555554,9.503580729166666,6.756260211651142
